name,rank,matches,wins,losses,draws,year
Mr. Perfect,1,174,116,8,50,1989
Bret Hart,2,151,54,26,71,1989
The Ultimate Warrior,3,151,132,17,2,1989
Randy Savage,4,149,91,58,0,1989
Marty Jannetty,5,148,98,38,12,1989
Shawn Michaels,6,148,98,38,12,1989
Smash,7,147,124,16,7,1989
The Big Boss Man,8,146,33,109,4,1989
Ax,9,143,120,16,7,1989
Hercules,10,142,66,59,17,1989
Ted DiBiase,11,141,42,93,6,1989
Dino Bravo,12,139,87,45,7,1989
The Honky Tonk Man,13,139,60,62,17,1989
Brutus Beefcake,14,137,88,38,11,1989
Tito Santana,15,136,46,69,21,1989
Greg Valentine,16,134,69,47,18,1989
Boris Zhukov,17,131,30,101,0,1989
Rick Rude,18,131,59,60,12,1989
Bad News Brown,19,130,80,44,6,1989
Rick Martel,20,130,94,17,19,1989
The Red Rooster,21,130,90,36,4,1989
Arn Anderson,22,129,45,80,4,1989
Jim Neidhart,23,127,52,59,16,1989
Butch,24,124,114,9,1,1989
Akeem,25,123,35,69,19,1989
Andre The Giant,26,122,36,85,1,1989
Paul Roma,27,122,63,58,1,1989
Luke,28,121,112,8,1,1989
Tully Blanchard,29,120,45,71,4,1989
The Barbarian,30,118,53,59,6,1989
Barry Horowitz,31,116,13,103,0,1989
The Warlord,32,116,51,62,3,1989
Raymond Rougeau,33,115,40,73,2,1989
Jacques Rougeau,34,114,41,72,1,1989
The Brooklyn Brawler,35,113,11,102,0,1989
Hulk Hogan,36,110,70,40,0,1989
Jimmy Snuka,37,100,67,32,1,1989
Koko B. Ware,38,95,41,54,0,1989
Jake Roberts,39,89,67,22,0,1989
Haku,40,88,36,45,7,1989
Tim Horner,41,87,43,43,1,1989
Dusty Rhodes,42,81,80,1,0,1989
The Genius,43,80,75,5,0,1989
Ronnie Garvin,44,77,41,23,13,1989
Jim Duggan,45,76,48,27,1,1989
Hillbilly Jim,46,73,37,36,0,1989
The Blue Blazer,47,62,24,37,1,1989
Mark Young,48,57,18,39,0,1989
Jim Powers,49,54,15,39,0,1989
King Duggan,50,52,50,1,1,1989
Iron Mike Sharpe,51,48,3,45,0,1989
Sam Houston,52,47,19,28,0,1989
Nikolai Volkoff,53,46,13,32,1,1989
Roddy Piper,54,46,24,14,8,1989
King Haku,55,41,15,22,4,1989
Big John Studd,56,40,22,0,18,1989
Rockin' Robin,57,35,35,0,0,1989
The Conquistador,58,32,0,32,0,1989
Al Perez,59,31,17,13,1,1989
Danny Davis,60,27,0,27,0,1989
Dale Wolfe,61,25,0,25,0,1989
Judy Martin,62,25,0,25,0,1989
Ron Bass,63,22,9,12,1,1989
Tom Stone,64,22,0,22,0,1989
Tugboat,65,22,22,0,0,1989
Earthquake,66,21,21,0,0,1989
Barry Windham,67,19,18,0,1,1989
Conquistador Uno,68,18,2,16,0,1989
Jim Evans,69,18,0,18,0,1989
Jose Estrada,70,17,0,17,0,1989
The Widow Maker,71,13,13,0,0,1989
Todd Becker,72,13,0,13,0,1989
Bill Wood,73,12,0,12,0,1989
Dusty Wolfe,74,12,0,12,0,1989
Scott Colton,75,12,0,12,0,1989
Tony Burton,76,12,0,12,0,1989
Al Burke,77,11,0,11,0,1989
Brian Costello,78,11,0,11,0,1989
Mike Williams,79,11,0,11,0,1989
Red Tyler,80,11,0,11,0,1989
Reno Riggins,81,11,0,11,0,1989
Chris Duffy,82,10,0,10,0,1989
Jake Milliman,83,10,1,9,0,1989
Louie Spicolli,84,10,0,10,0,1989
Scott Casey,85,10,0,10,0,1989
Sensational Sherri,86,10,0,10,0,1989
Terry Daniels,87,10,0,10,0,1989
Tony Durante,88,10,0,10,0,1989
Bob Bradley,89,9,0,9,0,1989
Jose Luis Rivera,90,9,1,7,1,1989
Sandy Beach,91,9,0,9,0,1989
Tom Magee,92,9,7,2,0,1989
Warren Bianchi,93,9,0,9,0,1989
Jerry Monti,94,8,0,8,0,1989
Riki Ataki,95,8,0,8,0,1989
Gary Wolfe,96,7,0,7,0,1989
George Skaaland,97,7,0,7,0,1989
Jim McPherson,98,7,0,7,0,1989
Lanny Poffo,99,7,2,5,0,1989
