name,rank,matches,wins,losses,draws,year,win_perc,loss_perc,draw_perc,era
Mr. Perfect,1,174,116,8,50,1989,66.67,4.6,28.74,Golden Era
Bret Hart,2,151,54,26,71,1989,35.76,17.22,47.02,Golden Era
The Ultimate Warrior,3,151,132,17,2,1989,87.42,11.26,1.32,Golden Era
Randy Savage,4,149,91,58,0,1989,61.07,38.93,0.0,Golden Era
Marty Jannetty,5,148,98,38,12,1989,66.22,25.68,8.11,Golden Era
Shawn Michaels,6,148,98,38,12,1989,66.22,25.68,8.11,Golden Era
Smash,7,147,124,16,7,1989,84.35,10.88,4.76,Golden Era
The Big Boss Man,8,146,33,109,4,1989,22.6,74.66,2.74,Golden Era
Ax,9,143,120,16,7,1989,83.92,11.19,4.9,Golden Era
Hercules,10,142,66,59,17,1989,46.48,41.55,11.97,Golden Era
Ted DiBiase,11,141,42,93,6,1989,29.79,65.96,4.26,Golden Era
Dino Bravo,12,139,87,45,7,1989,62.59,32.37,5.04,Golden Era
The Honky Tonk Man,13,139,60,62,17,1989,43.17,44.6,12.23,Golden Era
Brutus Beefcake,14,137,88,38,11,1989,64.23,27.74,8.03,Golden Era
Tito Santana,15,136,46,69,21,1989,33.82,50.74,15.44,Golden Era
Greg Valentine,16,134,69,47,18,1989,51.49,35.07,13.43,Golden Era
Boris Zhukov,17,131,30,101,0,1989,22.9,77.1,0.0,Golden Era
Rick Rude,18,131,59,60,12,1989,45.04,45.8,9.16,Golden Era
Bad News Brown,19,130,80,44,6,1989,61.54,33.85,4.62,Golden Era
Rick Martel,20,130,94,17,19,1989,72.31,13.08,14.62,Golden Era
The Red Rooster,21,130,90,36,4,1989,69.23,27.69,3.08,Golden Era
Arn Anderson,22,129,45,80,4,1989,34.88,62.02,3.1,Golden Era
Jim Neidhart,23,127,52,59,16,1989,40.94,46.46,12.6,Golden Era
Butch,24,124,114,9,1,1989,91.94,7.26,0.81,Golden Era
Akeem,25,123,35,69,19,1989,28.46,56.1,15.45,Golden Era
Andre The Giant,26,122,36,85,1,1989,29.51,69.67,0.82,Golden Era
Paul Roma,27,122,63,58,1,1989,51.64,47.54,0.82,Golden Era
Luke,28,121,112,8,1,1989,92.56,6.61,0.83,Golden Era
Tully Blanchard,29,120,45,71,4,1989,37.5,59.17,3.33,Golden Era
The Barbarian,30,118,53,59,6,1989,44.92,50.0,5.08,Golden Era
Barry Horowitz,31,116,13,103,0,1989,11.21,88.79,0.0,Golden Era
The Warlord,32,116,51,62,3,1989,43.97,53.45,2.59,Golden Era
Raymond Rougeau,33,115,40,73,2,1989,34.78,63.48,1.74,Golden Era
Jacques Rougeau,34,114,41,72,1,1989,35.96,63.16,0.88,Golden Era
The Brooklyn Brawler,35,113,11,102,0,1989,9.73,90.27,0.0,Golden Era
Hulk Hogan,36,110,70,40,0,1989,63.64,36.36,0.0,Golden Era
Jimmy Snuka,37,100,67,32,1,1989,67.0,32.0,1.0,Golden Era
Koko B. Ware,38,95,41,54,0,1989,43.16,56.84,0.0,Golden Era
Jake Roberts,39,89,67,22,0,1989,75.28,24.72,0.0,Golden Era
Haku,40,88,36,45,7,1989,40.91,51.14,7.95,Golden Era
Tim Horner,41,87,43,43,1,1989,49.43,49.43,1.15,Golden Era
Dusty Rhodes,42,81,80,1,0,1989,98.77,1.23,0.0,Golden Era
The Genius,43,80,75,5,0,1989,93.75,6.25,0.0,Golden Era
Ronnie Garvin,44,77,41,23,13,1989,53.25,29.87,16.88,Golden Era
Jim Duggan,45,76,48,27,1,1989,63.16,35.53,1.32,Golden Era
Hillbilly Jim,46,73,37,36,0,1989,50.68,49.32,0.0,Golden Era
Owen Hart,47,62,24,37,1,1989,38.71,59.68,1.61,Golden Era
Mark Young,48,57,18,39,0,1989,31.58,68.42,0.0,Golden Era
Jim Powers,49,54,15,39,0,1989,27.78,72.22,0.0,Golden Era
King Duggan,50,52,50,1,1,1989,96.15,1.92,1.92,Golden Era
Iron Mike Sharpe,51,48,3,45,0,1989,6.25,93.75,0.0,Golden Era
Sam Houston,52,47,19,28,0,1989,40.43,59.57,0.0,Golden Era
Nikolai Volkoff,53,46,13,32,1,1989,28.26,69.57,2.17,Golden Era
Roddy Piper,54,46,24,14,8,1989,52.17,30.43,17.39,Golden Era
King Haku,55,41,15,22,4,1989,36.59,53.66,9.76,Golden Era
Mr. Perfect,1,194,77,112,5,1990,39.69,57.73,2.58,Golden Era
