"wrestler_name","wrestler_rank","wrestler_matches","wrestler_wins","wrestler_losses","wrestler_draws"
"Mr. Perfect","1","174","116","8","50"
"Bret Hart","2","151","54","26","71"
"The Ultimate Warrior","3","151","132","17","2"
"Randy Savage","4","149","91","58","0"
"Marty Jannetty","5","148","98","38","12"
"Shawn Michaels","6","148","98","38","12"
"Smash","7","147","124","16","7"
"The Big Boss Man","8","146","33","109","4"
"Ax","9","143","120","16","7"
"Hercules","10","142","66","59","17"
"Ted DiBiase","11","141","42","93","6"
"Dino Bravo","12","139","87","45","7"
"The Honky Tonk Man","13","139","60","62","17"
"Brutus Beefcake","14","137","88","38","11"
"Tito Santana","15","136","46","69","21"
"Greg Valentine","16","134","69","47","18"
"Boris Zhukov","17","131","30","101","0"
"Rick Rude","18","131","59","60","12"
"Bad News Brown","19","130","80","44","6"
"Rick Martel","20","130","94","17","19"
"The Red Rooster","21","130","90","36","4"
"Arn Anderson","22","129","45","80","4"
"Jim Neidhart","23","127","52","59","16"
"Butch","24","124","114","9","1"
"Akeem","25","123","35","69","19"
"Andre The Giant","26","122","36","85","1"
"Paul Roma","27","122","63","58","1"
"Luke","28","121","112","8","1"
"Tully Blanchard","29","120","45","71","4"
"The Barbarian","30","118","53","59","6"
"Barry Horowitz","31","116","13","103","0"
"The Warlord","32","116","51","62","3"
"Raymond Rougeau","33","115","40","73","2"
"Jacques Rougeau","34","114","41","72","1"
"The Brooklyn Brawler","35","113","11","102","0"
"Hulk Hogan","36","110","70","40","0"
"Jimmy Snuka","37","100","67","32","1"
"Koko B. Ware","38","95","41","54","0"
"Jake Roberts","39","89","67","22","0"
"Haku","40","88","36","45","7"
"Tim Horner","41","87","43","43","1"
"Dusty Rhodes","42","81","80","1","0"
"The Genius","43","80","75","5","0"
"Ronnie Garvin","44","77","41","23","13"
"Jim Duggan","45","76","48","27","1"
"Hillbilly Jim","46","73","37","36","0"
"The Blue Blazer","47","62","24","37","1"
"Mark Young","48","57","18","39","0"
"Jim Powers","49","54","15","39","0"
"King Duggan","50","52","50","1","1"
"Iron Mike Sharpe","51","48","3","45","0"
"Sam Houston","52","47","19","28","0"
"Nikolai Volkoff","53","46","13","32","1"
"Roddy Piper","54","46","24","14","8"
"King Haku","55","41","15","22","4"
"Big John Studd","56","40","22","0","18"
"Rockin' Robin","57","35","35","0","0"
"The Conquistador","58","32","0","32","0"
"Al Perez","59","31","17","13","1"
"Danny Davis","60","27","0","27","0"
"Dale Wolfe","61","25","0","25","0"
"Judy Martin","62","25","0","25","0"
"Ron Bass","63","22","9","12","1"
"Tom Stone","64","22","0","22","0"
"Tugboat","65","22","22","0","0"
"Earthquake","66","21","21","0","0"
"Barry Windham","67","19","18","0","1"
"Conquistador Uno","68","18","2","16","0"
"Jim Evans","69","18","0","18","0"
"Jose Estrada","70","17","0","17","0"
"The Widow Maker","71","13","13","0","0"
"Todd Becker","72","13","0","13","0"
"Bill Wood","73","12","0","12","0"
"Dusty Wolfe","74","12","0","12","0"
"Scott Colton","75","12","0","12","0"
"Tony Burton","76","12","0","12","0"
"Al Burke","77","11","0","11","0"
"Brian Costello","78","11","0","11","0"
"Mike Williams","79","11","0","11","0"
"Red Tyler","80","11","0","11","0"
"Reno Riggins","81","11","0","11","0"
"Chris Duffy","82","10","0","10","0"
"Jake Milliman","83","10","1","9","0"
"Louie Spicolli","84","10","0","10","0"
"Scott Casey","85","10","0","10","0"
"Sensational Sherri","86","10","0","10","0"
"Terry Daniels","87","10","0","10","0"
"Tony Durante","88","10","0","10","0"
"Bob Bradley","89","9","0","9","0"
"Jose Luis Rivera","90","9","1","7","1"
"Sandy Beach","91","9","0","9","0"
"Tom Magee","92","9","7","2","0"
"Warren Bianchi","93","9","0","9","0"
"Jerry Monti","94","8","0","8","0"
"Riki Ataki","95","8","0","8","0"
"Gary Wolfe","96","7","0","7","0"
"George Skaaland","97","7","0","7","0"
"Jim McPherson","98","7","0","7","0"
"Lanny Poffo","99","7","2","5","0"
"Mario Mancini","100","7","0","7","0"
"Mr. Perfect","1","194","77","112","5"
"The Barbarian","2","174","103","71","0"
"The Ultimate Warrior","3","173","156","17","0"
"Marty Jannetty","4","169","117","46","6"
"Bret Hart","5","167","94","42","31"
"Ted DiBiase","6","167","75","91","1"
"The Big Boss Man","7","166","147","19","0"
"Earthquake","8","163","112","51","0"
"Jim Duggan","9","161","83","69","9"
"Smash","10","159","62","78","19"
"Jim Neidhart","11","157","91","42","24"
"Hercules","12","155","99","51","5"
"The Warlord","13","154","100","53","1"
"Haku","14","153","73","77","3"
"Greg Valentine","15","150","53","89","8"
"Paul Roma","16","146","86","57","3"
"Dusty Rhodes","17","143","88","54","1"
"Jake Roberts","18","143","120","23","0"
"Jimmy Snuka","19","143","80","62","1"
"Tugboat","20","143","131","12","0"
"Randy Savage","21","142","41","101","0"
"Dino Bravo","22","140","47","90","3"
"Shawn Michaels","23","139","107","24","8"
"Tito Santana","24","138","56","80","2"
"The Honky Tonk Man","25","137","44","88","5"
"Black Bart","26","136","22","114","0"
"Koko B. Ware","27","134","108","26","0"
"Buddy Rose","28","133","13","120","0"
"Tanaka","29","132","60","72","0"
"The Brooklyn Brawler","30","132","33","96","3"
"Luke","31","128","88","39","1"
"Butch","32","126","86","39","1"
"Nikolai Volkoff","33","114","47","67","0"
"Ax","34","113","35","63","15"
"Ronnie Garvin","35","113","57","50","6"
"Rick Martel","36","110","85","22","3"
"The Genius","37","106","21","84","1"
"Sato","38","105","54","51","0"
"Boris Zhukov","39","104","13","91","0"
"Bad News Brown","40","101","37","55","9"
"Rick Rude","41","101","23","72","6"
"Bob Bradley","42","94","6","88","0"
"The Texas Tornado","43","90","59","26","5"
"Crush","44","88","43","45","0"
"Akeem","45","86","40","46","0"
"Jim Brunzell","46","86","34","52","0"
"Paul Diamond","47","85","26","59","0"
"Shane Douglas","48","85","65","15","5"
"Pez Whatley","49","84","11","73","0"
"Hulk Hogan","50","79","64","15","0"
"Jim Powers","51","79","11","68","0"
"Brutus Beefcake","52","77","53","22","2"
"Hawk","53","77","76","1","0"
"Sgt. Slaughter","54","76","74","2","0"
"Animal","55","74","73","1","0"
"Dustin Rhodes","56","60","43","17","0"
"Al Perez","57","55","34","20","1"
"Roddy Piper","58","51","36","8","7"
"The British Bulldog","59","51","47","3","1"
"Iron Mike Sharpe","60","50","2","48","0"
"Sapphire","61","50","32","18","0"
"The Red Rooster","62","49","16","32","1"
"Queen Sherri","63","45","17","28","0"
"Hillbilly Jim","64","37","31","6","0"
"Saba Simba","65","36","32","4","0"
"Andre The Giant","66","35","27","8","0"
"Mr. Fuji","67","35","2","33","0"
"Barry O","68","29","1","28","0"
"Bobby Heenan","69","29","0","29","0"
"Conquistador Uno","70","25","1","24","0"
"Tom Stone","71","24","1","23","0"
"Dale Wolfe","72","23","0","23","0"
"Mark Young","73","23","4","19","0"
"Kato","74","22","4","18","0"
"Brady Boone","75","19","3","16","0"
"Frenchy Martin","76","19","1","18","0"
"Jim Evans","77","18","0","18","0"
"Sonny Blaze","78","18","0","18","0"
"The Black Demon","79","17","0","17","0"
"Chris Duffy","80","15","0","15","0"
"Jose Luis Rivera","81","15","0","15","0"
"Virgil","82","15","7","8","0"
"Reno Riggins","83","14","0","14","0"
"Battle Kat","84","13","12","1","0"
"Jim McPherson","85","13","0","13","0"
"Omar Atlas","86","12","1","11","0"
"Spike Jones","87","12","0","12","0"
"Kent Carlson","88","10","0","10","0"
"Red Tyler","89","10","0","10","0"
"Ron Garvin","90","10","3","7","0"
"Scott Colontonio","91","10","0","10","0"
"Scott Colton","92","10","0","10","0"
"Al Burke","93","9","0","9","0"
"Barry Hardy","94","9","0","9","0"
"Battle Kat","95","9","8","1","0"
"Mike Pocari","96","9","0","9","0"
"Rico Federico","97","9","0","9","0"
"Sam Houston","98","9","0","9","0"
"Duane Gill","99","8","0","8","0"
"Gary Jackson","100","8","0","8","0"
"Bret Hart","1","196","170","16","10"
"The Big Boss Man","2","195","137","56","2"
"The Undertaker","3","190","102","86","2"
"Earthquake","4","185","67","117","1"
"Ted DiBiase","5","184","103","75","6"
"Jim Duggan","6","181","117","61","3"
"Animal","7","179","168","8","3"
"The Mountie","8","175","94","77","4"
"Luke","9","174","76","98","0"
"Butch","10","172","73","99","0"
"The British Bulldog","11","169","121","33","15"
"Jerry Sags","12","167","89","76","2"
"The Texas Tornado","13","165","114","21","30"
"Jake Roberts","14","160","84","75","1"
"Irwin R. Schyster","15","156","119","28","9"
"Marty Jannetty","16","156","95","58","3"
"Brian Knobbs","17","155","84","68","3"
"Hawk","18","154","142","9","3"
"The Warlord","19","152","52","66","34"
"Kato","20","147","15","132","0"
"Greg Valentine","21","146","71","73","2"
"The Barbarian","22","146","49","95","2"
"Virgil","23","139","69","69","1"
"Shawn Michaels","24","137","83","49","5"
"The Berzerker","25","136","94","39","3"
"Hercules","26","134","32","100","2"
"Sgt. Slaughter","27","127","81","46","0"
"Jimmy Snuka","28","112","56","55","1"
"Jim Neidhart","29","106","77","27","2"
"Paul Roma","30","103","21","79","3"
"Tanaka","31","103","14","89","0"
"The Ultimate Warrior","32","103","73","30","0"
"Hulk Hogan","33","101","84","17","0"
"Typhoon","34","100","36","62","2"
"Col. Mustafa","35","99","33","66","0"
"Koko B. Ware","36","97","22","75","0"
"The Dragon","37","97","92","1","4"
"Mr. Perfect","38","89","34","49","6"
"Beau Beverly","39","88","72","15","1"
"Blake Beverly","40","88","70","17","1"
"Roddy Piper","41","88","52","36","0"
"The Brooklyn Brawler","42","81","4","77","0"
"Skinner","43","76","26","47","3"
"Tugboat","44","72","24","48","0"
"Haku","45","71","8","63","0"
"Smash","46","69","11","58","0"
"Ric Flair","47","66","38","28","0"
"El Matador","48","65","54","8","3"
"Rick Martel","49","56","9","45","2"
"Dino Bravo","50","51","5","46","0"
"Randy Savage","51","50","38","12","0"
"Crush","52","45","7","38","0"
"Jim Powers","53","45","10","35","0"
"Gen. Adnan","54","36","0","36","0"
"Tito Santana","55","34","21","13","0"
"Dale Wolfe","56","30","0","30","0"
"Sid Justice","57","27","25","0","2"
"Bob Bradley","58","26","1","25","0"
"Chris Chavis","59","26","22","4","0"
"Big Bully Busick","60","24","9","15","0"
"Mr. Fuji","61","22","0","22","0"
"Chris Walker","62","19","15","4","0"
"Louie Spicolli","63","19","0","19","0"
"Shane Douglas","64","18","5","13","0"
"Brian Donahue","65","16","0","16","0"
"Jim Brunzell","66","16","0","16","0"
"Sonny Blaze","67","16","0","16","0"
"Barry Hardy","68","15","0","15","0"
"Brian Costello","69","14","0","14","0"
"Repo Man","70","13","8","5","0"
"Duane Gill","71","12","0","12","0"
"Saba Simba","72","12","3","9","0"
"Pez Whatley","73","11","0","11","0"
"Phil Apollo","74","11","0","11","0"
"Barry Horowitz","75","10","0","10","0"
"Bobby Jones","76","10","0","10","0"
"Larry Ludden","77","10","0","10","0"
"Mark Thomas","78","10","0","10","0"
"Russ Greenberg","79","10","0","10","0"
"Sam Houston","80","10","2","8","0"
"Bobby Heenan","81","9","1","8","0"
"Buddy Rose","82","9","0","9","0"
"The Genius","83","9","4","5","0"
"Bill Pierce","84","8","0","8","0"
"Jim Evans","85","8","0","8","0"
"Chris Duffy","86","7","0","7","0"
"Larry Williams","87","7","0","7","0"
"Mario Mancini","88","7","0","7","0"
"Tom Stone","89","7","0","7","0"
"Ed Moretti","90","6","0","6","0"
"Reno Riggins","91","6","1","5","0"
"The Black Knight","92","6","0","6","0"
"Al Burke","93","5","0","5","0"
"Buck Zumhofe","94","5","0","5","0"
"Chic Cullen","95","5","0","5","0"
"Chris Hahn","96","5","0","5","0"
"Doug Vines","97","5","0","5","0"
"Dustin Rhodes","98","5","3","2","0"
"Mike Williams","99","5","0","5","0"
"Owen Hart","100","5","5","0","0"
"Bret Hart","1","201","187","13","1"
"Repo Man","2","188","69","118","1"
"Shawn Michaels","3","177","89","84","4"
"El Matador","4","172","100","55","17"
"Ric Flair","5","170","36","132","2"
"Virgil","6","170","84","86","0"
"Irwin R. Schyster","7","166","71","84","11"
"Ted DiBiase","8","163","55","96","12"
"Skinner","9","162","35","126","1"
"Rick Martel","10","159","95","62","2"
"Tatanka","11","158","144","14","0"
"The Undertaker","12","158","142","8","8"
"Randy Savage","13","157","114","41","2"
"Owen Hart","14","156","96","59","1"
"Earthquake","15","154","117","37","0"
"Papa Shango","16","145","33","109","3"
"Typhoon","17","145","106","39","0"
"Blake Beverly","18","143","40","102","1"
"The Mountie","19","139","52","87","0"
"Jerry Sags","20","138","72","62","4"
"Beau Beverly","21","137","39","97","1"
"Brian Knobbs","22","131","67","60","4"
"Crush","23","130","128","0","2"
"The Big Boss Man","24","122","86","36","0"
"Kato","25","121","9","112","0"
"Koko B. Ware","26","113","58","54","1"
"Nailz","27","109","50","55","4"
"The British Bulldog","28","109","97","11","1"
"The Berzerker","29","108","25","83","0"
"Jim Duggan","30","104","61","41","2"
"Sgt. Slaughter","31","104","45","59","0"
"Animal","32","102","99","3","0"
"Jim Powers","33","102","28","74","0"
"The Brooklyn Brawler","34","101","3","98","0"
"Kamala","35","97","39","58","0"
"The Ultimate Warrior","36","88","86","1","1"
"Razor Ramon","37","80","62","17","1"
"Hawk","38","76","73","3","0"
"Luke","39","75","50","25","0"
"Butch","40","73","47","26","0"
"Jim Brunzell","41","66","15","51","0"
"Sid Justice","42","58","15","35","8"
"Roddy Piper","43","54","40","14","0"
"The Texas Tornado","44","54","33","21","0"
"Barry Horowitz","45","53","0","53","0"
"Chris Walker","46","49","24","24","1"
"The Warlord","47","45","28","15","2"
"Jake Roberts","48","40","4","36","0"
"Terry Taylor","49","40","14","24","2"
"Max Moon","50","38","37","1","0"
"Fatu","51","37","36","1","0"
"Lance Cassidy","52","37","35","1","1"
"Samu","53","36","35","1","0"
"Bob Backlund","54","33","33","0","0"
"Col. Mustafa","55","33","1","32","0"
"Hulk Hogan","56","32","29","3","0"
"Bob Bradley","57","28","0","28","0"
"Marty Jannetty","58","26","13","12","1"
"The Genius","59","26","4","22","0"
"Jim Neidhart","60","23","19","4","0"
"Louie Spicolli","61","23","0","23","0"
"Dale Wolfe","62","22","0","22","0"
"Duane Gill","63","22","1","21","0"
"Damien DeMento","64","21","12","9","0"
"JW Storm","65","21","4","17","0"
"Barry Hardy","66","20","1","19","0"
"Hercules","67","19","4","15","0"
"Double Trouble I","68","17","1","16","0"
"Double Trouble II","69","17","1","16","0"
"Red Tyler","70","16","0","16","0"
"Tom Stone","71","15","0","15","0"
"Yokozuna","72","15","15","0","0"
"Glen Ruth","73","14","0","14","0"
"Brian Costello","74","13","0","13","0"
"Iron Mike Sharpe","75","13","1","12","0"
"Bam Bam Bigelow","76","12","11","1","0"
"Dino Bravo","77","10","1","9","0"
"Chris Chavis","78","9","9","0","0"
"Doug Somers","79","9","0","9","0"
"Jimmy Snuka","80","9","1","8","0"
"Joey Maggs","81","9","0","9","0"
"Kevin Krueger","82","9","0","9","0"
"Paul Ellering","83","9","9","0","0"
"Phil Apollo","84","9","0","9","0"
